INFO 2025-03-10 11:29:29,648 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/attr/setters.py first seen with mtime 1737433107.8749917
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/click/parser.py first seen with mtime 1737543670.1347063
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/click/__init__.py first seen with mtime 1737543670.133487
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/utils/termcolors.py first seen with mtime 1741546736.847062
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/conf/__init__.py first seen with mtime 1741546736.447828
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/rich/text.py first seen with mtime 1738003396.1468086
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/contrib/admin/models.py first seen with mtime 1741546736.4886575
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/csv.py first seen with mtime 1733935668.4277866
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/cryptography/hazmat/primitives/__init__.py first seen with mtime 1732130249.390649
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/requests/structures.py first seen with mtime 1730999330.9100578
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/rest_framework/negotiation.py first seen with mtime 1737622563.8467364
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/pygments/lexers/_mapping.py first seen with mtime 1737952981.9861562
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/contrib/admin/filters.py first seen with mtime 1741546736.4884114
DEBUG 2025-03-10 11:29:29,947 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/psycopg/_column.py first seen with mtime 1737620296.4396327
